City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Mehamn,NO,71.0357,27.8492,37.35,81,75,25.32,light intensity shower rain
261,Zaria,NG,11.1113,7.7227,84.76,24,6,6.62,clear sky
262,Ribeira grande,PT,38.5167,-28.7,70.2,83,40,13.8,scattered clouds
263,Boyolangu,ID,-8.1181,111.8935,77.16,91,97,3.33,light rain
264,Padang,ID,-0.9492,100.3543,73.45,81,100,2.62,light rain
265,Beloha,MG,-25.1667,45.05,72.66,86,6,6.46,clear sky
266,Cabo san lucas,MX,22.8909,-109.9124,87.06,61,1,3.0,clear sky
267,Clyde river,CA,70.4692,-68.5914,13.42,78,95,13.91,overcast clouds
268,Havoysund,NO,70.9963,24.6622,40.08,91,99,32.26,light rain
269,Powell,US,40.1578,-83.0752,61.02,77,20,4.0,few clouds
270,Oranjestad,AW,12.524,-70.027,87.75,58,20,20.71,few clouds
271,Grindavik,IS,63.8424,-22.4338,36.07,80,40,17.27,scattered clouds
272,Kandrian,PG,-6.2167,149.55,76.64,84,62,4.5,broken clouds
273,Boyuibe,BO,-20.4167,-63.2833,76.98,77,88,4.09,moderate rain
274,Jieshi,CN,22.8134,115.8257,64.08,47,0,9.01,clear sky
275,Skjervoy,NO,70.0311,20.9714,41.0,74,100,21.65,light rain
276,Marianske lazne,CZ,49.9646,12.7012,41.2,84,73,3.02,broken clouds
277,Amapa,BR,1.0,-52.0,75.88,87,100,2.73,light rain
278,Baykit,RU,61.67,96.37,28.33,97,100,4.25,light snow
279,Kununurra,AU,-15.7667,128.7333,82.38,83,60,8.05,broken clouds
280,Urozhaynoye,RU,44.7883,44.9228,39.15,70,77,11.48,broken clouds
281,Kahului,US,20.8947,-156.47,76.84,75,1,5.75,clear sky
282,Falmouth,GB,50.1544,-5.0711,56.3,94,75,5.75,mist
283,Upernavik,GL,72.7868,-56.1549,19.22,92,100,13.76,snow
284,California city,US,35.1258,-117.9859,62.94,60,1,1.99,clear sky
285,Port hedland,AU,-20.3167,118.5667,69.85,78,28,0.0,scattered clouds
286,Carutapera,BR,-1.195,-46.02,87.49,52,99,8.55,overcast clouds
287,Alenquer,BR,-1.9417,-54.7383,86.34,79,76,2.01,moderate rain
288,Cururupu,BR,-1.8283,-44.8683,88.29,50,65,7.47,broken clouds
