City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,lourdes,FR,2021-11-08 18:31:18,43.1,-0.05,47.68,81,90,5.75
103,torbay,CA,2021-11-08 18:30:59,47.6666,-52.7314,50.77,71,75,12.66
104,sochi,RU,2021-11-08 18:31:18,43.6,39.7303,58.62,78,6,5.1
105,tadine,NC,2021-11-08 18:31:18,-21.55,167.8833,72.82,72,100,4.72
106,geraldton,AU,2021-11-08 18:31:11,-28.7667,114.6,66.61,82,75,14.97
107,george town,MY,2021-11-08 18:28:56,5.4112,100.3354,78.73,93,40,3.44
108,coquimbo,CL,2021-11-08 18:29:43,-29.9533,-71.3436,62.33,72,75,13.8
109,colorines,MX,2021-11-08 18:31:19,19.2,-100.1667,75.6,52,66,6.26
110,springbok,ZA,2021-11-08 18:31:19,-29.6643,17.8865,50.65,66,0,8.7
111,ucluelet,CA,2021-11-08 18:31:20,48.9329,-125.5528,46.09,90,100,4.0
112,ushuaia,AR,2021-11-08 18:31:07,-54.8,-68.3,51.42,53,75,11.5
113,busselton,AU,2021-11-08 18:31:20,-33.65,115.3333,54.09,70,100,15.93
114,jamestown,US,2021-11-08 18:27:04,42.097,-79.2353,65.52,48,1,11.5
115,saint-francois,FR,2021-11-08 18:31:20,46.4154,3.9054,45.84,76,75,6.91
116,yatou,CN,2021-11-08 18:31:21,37.15,122.3833,37.2,81,38,20.15
117,port macquarie,AU,2021-11-08 18:29:56,-31.4333,152.9167,62.56,92,94,5.97
118,tshikapa,CD,2021-11-08 18:31:21,-6.4167,20.8,74.97,76,86,2.86
119,camacha,PT,2021-11-08 18:31:21,33.0833,-16.3333,65.16,59,40,8.05
120,rantauprapat,ID,2021-11-08 18:31:21,2.1,99.8333,74.03,87,91,2.91
121,timmins,CA,2021-11-08 18:29:53,48.4669,-81.3331,53.42,76,90,8.05
122,honggang,CN,2021-11-08 18:31:22,46.4667,124.8667,23.63,95,100,18.48
123,mataura,NZ,2021-11-08 18:31:22,-46.1927,168.8643,58.48,75,36,1.63
124,hambantota,LK,2021-11-08 18:31:22,6.1241,81.1185,75.54,100,100,9.22
125,lishui,CN,2021-11-08 18:31:23,28.4604,119.9103,40.23,76,0,2.55
126,shimoda,JP,2021-11-08 18:31:23,34.6667,138.95,61.11,86,84,12.01
127,emerald,AU,2021-11-08 18:31:23,-23.5333,148.1667,77.14,88,75,6.91
128,creel,MX,2021-11-08 18:31:23,27.75,-107.6333,65.26,32,100,8.01
129,saskylakh,RU,2021-11-08 18:31:24,71.9167,114.0833,14.23,96,100,5.01
130,tasiilaq,GL,2021-11-08 18:31:24,65.6145,-37.6368,26.76,67,100,5.39
131,nizwa,OM,2021-11-08 18:31:24,22.9333,57.5333,73.63,40,27,2.82
132,shirokiy,RU,2021-11-08 18:31:25,49.758,129.523,21.47,94,100,17.67
133,narsaq,GL,2021-11-08 18:31:25,60.9167,-46.05,30.42,87,15,2.33
134,cockburn town,TC,2021-11-08 18:31:25,21.4612,-71.1419,82.04,70,10,7.14
135,yar-sale,RU,2021-11-08 18:31:25,66.8333,70.8333,10.08,86,17,9.73
136,namibe,AO,2021-11-08 18:32:26,-15.1961,12.1522,69.13,76,2,3.18
137,victoria,HK,2021-11-08 18:32:26,22.2855,114.1577,66.25,52,88,1.01
138,aki,JP,2021-11-08 18:32:26,33.5,133.9,64.54,90,100,5.19
139,vila velha,BR,2021-11-08 18:32:27,-20.3297,-40.2925,76.95,86,90,1.99
140,labuhan,ID,2021-11-08 18:32:27,-6.8844,112.2051,81.61,77,100,4.92
141,faanui,PF,2021-11-08 18:32:27,-16.4833,-151.75,78.78,76,5,8.28
142,trat,TH,2021-11-08 18:32:27,12.5,102.5,83.98,94,97,7.25
143,katav-ivanovsk,RU,2021-11-08 18:32:28,54.7531,58.1956,30.9,91,100,5.46
144,tuktoyaktuk,CA,2021-11-08 18:32:28,69.4541,-133.0374,21.2,68,90,4.61
145,kawalu,ID,2021-11-08 18:32:28,-7.3817,108.2082,73.42,98,100,0.09
146,kaitangata,NZ,2021-11-08 18:32:28,-46.2817,169.8464,55.58,81,80,2.77
147,dunedin,NZ,2021-11-08 18:30:48,-45.8742,170.5036,57.79,90,84,2.95
148,vao,NC,2021-11-08 18:32:29,-22.6667,167.4833,72.73,71,100,8.75
149,chokurdakh,RU,2021-11-08 18:32:29,70.6333,147.9167,-16.83,92,22,7.29
150,san pedro de macoris,DO,2021-11-08 18:32:29,18.4616,-69.2972,88.41,58,60,6.29
151,kapoeta,SS,2021-11-08 18:32:30,4.7717,33.5903,80.46,54,100,2.77
152,nikolskoye,RU,2021-11-08 18:32:30,59.7035,30.7861,34.02,71,96,11.21
153,colesberg,ZA,2021-11-08 18:32:30,-30.72,25.0972,49.98,73,23,14.88
154,barrow,US,2021-11-08 18:32:30,71.2906,-156.7887,21.22,86,90,11.5
155,avarua,CK,2021-11-08 18:32:31,-21.2078,-159.775,77.05,69,75,6.91
156,sagua la grande,CU,2021-11-08 18:32:31,22.8067,-80.0756,79.79,64,99,10.89
157,konstantinovka,RU,2021-11-08 18:32:31,49.6167,127.9833,19.65,90,100,16.13
